LogID,Symptom,Issue,Resolution
115033,"Version # (if applicable): 35443 IsScrapBin (please indicate for FSA issue): Report/UI: Requirement resource summary report (All) Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: HXV: EMR XCC conversion group show only TEST_PBIC requirement, but in POR EMR did run in TEST FUSE and TEST_PBIC 2. Requirement is missing. Need help","HXV: EMR XCC conversion group show only TEST_PBIC requirement, but in POR EMR did run in TEST FUSE and TEST_PBIC 2. Requirement is missing. Need help",  User has to do conversion group mapping again. User agrees to close the ticket.
115037,"Version # (if applicable): 35405 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Overcommit on PSICapGroupGroup STH_AP_ITEMS_ADL RPL S_RPL S 8+16+1, total requirement VGGPC is over inventory in Q4'24","Overcommit on PSICapGroupGroup STH_AP_ITEMS_ADL RPL S_RPL S 8+16+1, total requirement VGGPC is over inventory in Q4'24",".  PSICapGroupGroup available inventory was coming wrong into the solver, it didn't deduct the NSM/USD requirements. SWE has fixed the issue. Now all the delta are non-negative."
115038,"Version # (if applicable): 35283 and 35420 Report/UI: Site Split UI, Management Summary Report UI, Frozen Schedule Adjustment UI Location(s): SS Product: Battlemage G21 Problem Description: Site Split and site response are duplicate in 2 BOMs below BATTLEMAGE FCBGAEXF A-0 BMG-BOM 33 0 MB -> should be removed BATTLEMAGE FCBGAEXF A-0 BMG-BOM 33 0 MB [A_0] -> should be kept",Site Split and site response are duplicate in 2 BOMs below BATTLEMAGE FCBGAEXF A-0 BMG-BOM 33 0 MB -> should be removed BATTLEMAGE FCBGAEXF A-0 BMG-BOM 33 0 MB [A_0] -> should be kept," Solution: old BATTLEMAGE FCBGAEXF A-0 BMG-BOM 33 0 MB Itemgroup added suffix word [deleted] , removed OFG group mapping relationships"
115043,"Version # (if applicable): V35427 IsScrapBin (please indicate for FSA issue): HDM_TIU_ITEMS_SDM 43 only have two cell pair, but i have the HMVbb and HXVab NSM requirement W03 and W04. Why system still solve pass and no constrain on this. HMVbb_SM430/530 HXVab_SM43/53 Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:",,"  No request item is qualified under this PSICapGroup VGG. L2 conversion group requirement will not follow exactly with PSICapGroup conversion group if both don't have same items qualified in the same week and if NSM/USD differs, in this scenario qualified items are different."
115061,"Version # (if applicable): 35467 IsScrapBin (please indicate for FSA issue): Report/UI: Run Solve UI Item(s)/ItemGroup(s)/Location(s): Problem Description: After updating EUPH for ARL S8161 HBI, try to generate max cap but there is error in generating max cap. Please help to check.","After updating EUPH for ARL S8161 HBI, try to generate max cap but there is error in generating max cap. Please help to check.","  UI issue, SWE is looking into it. Issue has been fixed."
115062,"Version # (if applicable): Data staging IsScrapBin (please indicate for FSA issue): ARL S 8+16+1 FF HBI EUPH w40-48 shown 2636.4.. MCS shown 2492.8.. Need help to see any problem on the CIP, pulling vanguard Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:",, No issue in CIP. The EUPH was adjusted to 2636.4 and publish back to Data staging by user cheehawt on 2024-08-13 08:57:34.243
115070,"Version # (if applicable): 35470 and 35459 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Version run failed even it run successful yesterday, pls help me to check both 35470 and 35459","Version run failed even it run successful yesterday, pls help me to check both 35470 and 35459",Solve completed upon rerun on v35459.
115072,Version # (if applicable): 35642 IsScrapBin (please indicate for FSA issue): Report/UI: Delta (Material) Report Item(s)/ItemGroup(s)/Location(s): Problem Description: Subs PN M90681-001 was in the Delta Materials Report previously but now it is missing. We need it included in the Delta Materials Report for materials assessment.,Subs PN M90681-001 was in the Delta Materials Report previously but now it is missing. We need it included in the Delta Materials Report for materials assessment., Will be working as a enhancement under CIP AMCRS-2546
115086,Version # (if applicable): 35464 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: IsFungible Flag does not work cause over commit (Rounded+conversion > inventory). Happen on PSICapGroup Group STH_AP_ITEMS_ADL RPL S_RPL S8161,IsFungible Flag does not work cause over commit (Rounded+conversion > inventory). Happen on PSICapGroup Group STH_AP_ITEMS_ADL RPL S_RPL S8161,  SS capacity cannot be constraint by PSICapGroup inventory as they need to remodel their PSICapGroup. User to bring up this issue to the SS IE Team to put more efforts on how to use PSICapGroup raw inventory constraint.
115089,Version # (if applicable): Data Staging IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: User loaded Finalize Process failed. Please help me to check,User loaded Finalize Process failed. Please help me to check,"  Temp table IdpAtcrAsblyTstPorSch_bk20240623 caused mismatch, table excluded from load process."
115097,Version # (if applicable): 35467 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart by VGG Report and RRS report Item(s)/ItemGroup(s)/Location(s): Problem Description: WW51 max cap for ARL S8161 FF showed 102.504ku but PPV inv  7 which can only provide max cap around 86ku. Why there is no constraint at PPV?,WW51 max cap for ARL S8161 FF showed 102.504ku but PPV inv  7 which can only provide max cap around 86ku. Why there is no constraint at PPV?,  Capacity looks okay after fixing a data issue. Please check and confirm.
115104,Version # (if applicable): 35490 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Run EC solve failed. Please help to check. Problem Description:,,"  We have fixed the data issue that was induced in the last release and it was required to create a new version, after creating a new version and rerun solve, it is successful now in v35515. Root cause: Some PSICapGroup VGG did not have the valid resources mapped after release, AD has deactivated those PSICapGroup VGG in DS."
115105,Version # (if applicable): Data staging IsScrapBin (please indicate for FSA issue): Report/UI: Data Fallout Capacity Report Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: The Data Fallout Capacity Report failed to load when all categories have been selected. Attached is the error shown.,The Data Fallout Capacity Report failed to load when all categories have been selected. Attached is the error shown., Issue has been fixed and report load done successfully.
115106,Version # (if applicable): 35477 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Solve Failed,Solve Failed," There are some PSICapGroup VGG been activated even though the PSIcapgroup are not active. Team has fixed the issue, after regenerate VGG data, solve passed."
115138,Version # (if applicable): IsScrapBin (please indicate for FSA issue): Report/UI: Data Fallout Capacity Report Item(s)/ItemGroup(s)/Location(s): Problem Description: STH_MB_INTEG_APN12_120_15_30_300_60_41_410 got fall out under PSICapGroupGroup Available Inventory < 0. but INV is available.Please help to check tq. please ignore 2nd image..,STH_MB_INTEG_APN12_120_15_30_300_60_41_410 got fall out under PSICapGroupGroup Available Inventory < 0. but INV is available.Please help to check tq. please ignore 2nd image.., Enhance the PSICapGroupGroup Available Inventory < 0 fallout logic
115141,Version # (if applicable): data staging IsScrapBin (please indicate for FSA issue): Report/UI: Capacity Group Location parameter Item(s)/ItemGroup(s)/Location(s): Problem Description: UD% is incorrect for Mustang Ridge products. MCS capture 72% while we always get 65% even after VG/MCS restage. Need help to check what cause the gap,UD% is incorrect for Mustang Ridge products. MCS capture 72% while we always get 65% even after VG/MCS restage. Need help to check what cause the gap," Will be fixing the UD data in future change under AMCRS-2567 , currently UD is calculated with formula in case only when the UD is null from MCS."
115142,Version # (if applicable): 35516 IsScrapBin (please indicate for FSA issue): Report/UI: Data Fallout Capacity Report Item(s)/ItemGroup(s)/Location(s): Problem Description: Fallout mentioned group ADL/RPL P cap group group has 0 inv while it has the inv,Fallout mentioned group ADL/RPL P cap group group has 0 inv while it has the inv, Associated VGG with given PSICapGroup having Inventory was inactive. The data is fixed now. The mentioned Inventory is reflecting correctly now and fallout is clear.
115143,Version # (if applicable): DS IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: There is fallout on STH_MB_ITEMS_FPK82_84 in W41/50/51. But the NSM and USD tool req is within 20 cells for PSIGCapgroup. Please help to check.,There is fallout on STH_MB_ITEMS_FPK82_84 in W41/50/51. But the NSM and USD tool req is within 20 cells for PSIGCapgroup. Please help to check., Enhance the PSICapGroupGroup Available Inventory < 0 fallout logic
115145,Version # (if applicable): N/A IsScrapBin (please indicate for FSA issue): N/A Report/UI: Item(s)/ItemGroup(s)/Location(s): GRANITE RAPIDS FCLGA18N B-3 AAH-BOM Y8 - - and GRANITE RAPIDS FCLGA18N H-16 AAH-BOM Y8 - - Problem Description: Please check ATCap response demand. Why is the demand higher than expected demand? Expected demand is 259k (Assy In),Please check ATCap response demand. Why is the demand higher than expected demand? Expected demand is 259k (Assy In)," The demand is higher due to the both bom quantity are sum together. Meanwhile, the bom GRANITE RAPIDS FCLGA18N H-16 AAH-BOM Y8 - - is already stale and required to be removed. User will discuss with OFG PO's for further process and this issue will be tracked to ensure the values are reflecting correctly in next cycle. User agreed to close the ticket."
115146,"Version # (if applicable): V35521 IsScrapBin (please indicate for FSA issue): Why WW44 PPVM requirement shown 1.807+1.894, it should be total of 3.040 same as the W43. Need help to check Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:",, v 35521 copied from source v35517 not having any VGG generated before running solve. v35517 VGG generated on 2024-08-28 having good data. Informed user to run generate VGG on copied version as dry run data looks good. User confirm to close the pool.
115148,Version # (if applicable): V35510 IsScrapBin (please indicate for FSA issue): HDM_TIU_ITEMS_ARL S 8+16+1_TEST_EQAM didnot active in the capacity group Mapping(VGG) UI.. Need help to check Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:,,".  Hi Chee Haw Teoh The data is fixed now on for all versions. The mentioned VGG is active for the version : V35510 . Kindly refer the screenshot. Thanks, Thiru.  user checked and confirmed to close the pool."
115149,"Version # (if applicable): V35523 IsScrapBin (please indicate for FSA issue): ARL H682 Child 1 FF W01 dont able to response max cap with S6 Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Checking in the Unused report shown the PG8_VGG_URAa is the limited with 1.38777878078145E-14 when checking the RSS report URAa still having 1 more excess tool. VGG Capacity Group Capacity shown the same result in in the unused report. (not sure is due to my standard item with 0.01 NWW) Need help to check why i not able to commit more, with excess..","Checking in the Unused report shown the PG8_VGG_URAa is the limited with 1.38777878078145E-14 when checking the RSS report URAa still having 1 more excess tool. VGG Capacity Group Capacity shown the same result in in the unused report. (not sure is due to my standard item with 0.01 NWW) Need help to check why i not able to commit more, with excess..","SNR has 4 unit cap target in ww01, which occupy tools because of 0.01 nominal hour. User cannot see tool req for SNR in VGGPC report is because in VGGPC solve, solver will ignore cap target with 0.01 nominal hour. We may need a standard process on how to handle holiday. For now user will remove 4 units on SNR."
115160,"Version # (if applicable): Data Staging for KM5 IsScrapBin (please indicate for FSA issue): Report/UI: Resource Group Conversion Parameter UI Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: Observed that ConversionGroupname for ""HMV: MGR_BGA"" has been duplicated with CXTe and HMVb ResourceGroupname. Then, checked through conversion group mapping UI, CXTe ResouceGroupName has not been setup for the mentioned conversion groupname. Please help to check on the duplication issue.","Observed that ConversionGroupname for ""HMV: MGR_BGA"" has been duplicated with CXTe and HMVb ResourceGroupname. Then, checked through conversion group mapping UI, CXTe ResouceGroupName has not been setup for the mentioned conversion groupname. Please help to check on the duplication issue.", Data correction done for old ConversionGroup - L2 Resource mapping. Duplicate data has been removed after this.
115164,Version # (if applicable): 35512 Report/UI: Build strategy Problem Description: not able to update batch multiple 550 units for MTL PCH S as attachment,not able to update batch multiple 550 units for MTL PCH S as attachment,".  Hi Ha Mai Huong Le, Batch multiple only supports integer value. we cannot enter the decimal values. Thanks, Thiru.  user checked and confirmed to close the pool."
115165,Version # (if applicable):v35537 IsScrapBin (please indicate for FSA issue): could not see the AXX route for B-3 AAH BOM but XTF route is avail Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:,,  AXX route for B-3 AAH BOM was not available due to the request item was not mapped. User confirmed to close the ticket.
115175,"Version # (if applicable): 35558 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart VGG Report Item(s)/ItemGroup(s)/Location(s): Problem Description: Run str 6 for FM41 Assy-Test and Finish, max cap on WW47 should be around 7.8ku but PC shown is only 5.48ku. PSIGCapgroup inv  47 BIBs should be able to give 7.8ku. Please help to check.","Run str 6 for FM41 Assy-Test and Finish, max cap on WW47 should be around 7.8ku but PC shown is only 5.48ku. PSIGCapgroup inv  47 BIBs should be able to give 7.8ku. Please help to check.", user need to turn off OFG_LimiterCapacitySolverFlag to run VGG solve.
115176,"Version # (if applicable): V35557 IsScrapBin (please indicate for FSA issue): ARL S 8+16+1 FF Dec not able to declared max cap Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: 1. Checking unused report still have capacity 2. Checking HXVab still have the conversion quantity, L2 still have capacity","1. Checking unused report still have capacity 2. Checking HXVab still have the conversion quantity, L2 still have capacity","It is constrained by HDM_AP_BP_TSP in Dec, rounded tool req already hit inventory."
115185,"Version # (if applicable): 35551 IsScrapBin (please indicate for FSA issue): Report/UI: Resource Requirement Summary Report (All) Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: 1. All the HSXa conversion group requirement (except HSX: GNR D HCC (Main/IO+) and HSX: GNR D HCC (SDE+)) not showing up when parameter selection under ""VGGPC"". Requirement only show up when parameter selection under ""SiteResponse"". Please help to check on this.","1. All the HSXa conversion group requirement (except HSX: GNR D HCC (Main/IO+) and HSX: GNR D HCC (SDE+)) not showing up when parameter selection under ""VGGPC"". Requirement only show up when parameter selection under ""SiteResponse"". Please help to check on this.","The trade ratio for KM5_VGG_HSXa is zero. Because std item ICE LAKE FC-LGA16A M-1 QDX-BOM P5 42 MB runrate on HSXa is all eliminated, that prod is using STHn. User need to change to another valid standard item for this VGG."
115186,"Version # (if applicable): 35551 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Cayman Point /KM5 Problem Description: The PSI cap group: HDM_TIU_ITEMS_CAYMAN POINT _TEST_MPS_AHMT_4 requirement suggested for Cayman Point with VGG PC parameter has exceeded the planned inventory. How does user model the PSICapGroup inventory with PSI ratio: 4, to ensure the suggested requirement is fall within 2 tools only?","The PSI cap group: HDM_TIU_ITEMS_CAYMAN POINT _TEST_MPS_AHMT_4 requirement suggested for Cayman Point with VGG PC parameter has exceeded the planned inventory. How does user model the PSICapGroup inventory with PSI ratio: 4, to ensure the suggested requirement is fall within 2 tools only?",. Test_MPS Operation having two sub operations - hence the PSI ratio is sum of two which is 8. Suggestion to User - To manipulate the data by SUM the ratio for VGG solve version when VGG solve and keep the same data for WIF solve version. Working on this in CIP
115187,"Version # (if applicable): V35564 IsScrapBin (please indicate for FSA issue): Report/UI: RRS report VGG PC , VGG capacity group capacity Item(s)/ItemGroup(s)/Location(s): Problem Description: (1) ARL U281 over STHI PSI cap group inventory capacity (2) MTL PCH has PC but no response",(1) ARL U281 over STHI PSI cap group inventory capacity (2) MTL PCH has PC but no response," Elaine: Trade ration of CD6_VGG_STH_MB_ITEMS_ARL U 2C+8A+GT1 does not exist, Roopa is . 1.ARL U281 DLCP split is not available for std item, changed the std item in DS and WfdsVersion 5086. 2.MTL PCH , runrate is not available for the TEST_PBIC and CXTek. Std item METEOR LAKE FC-BGA15F B-0 MA5-BOM T9 - - not mapped to any Vanguard. Hence there is no vgg capacity Fruther  - PSICapGroup 'CMT_TIU_MTL PCH Test ' was for CXTek before and now change to CXTet . But the VGG still mapped to CXTek . During CIP we have the clean up for both L2 and Operation and the next CIP will change the VGG mapping to CXTet. User will do the CIP for next week User reported issue with VGG CD6_VGG_STH_AP_ITEMS_ADL S 8+8+1 and CD6_VGG_STH_MB_INTEG_ADL S 8+8+1 - Std item RAPTOR LAKE FC-LGA16A H-2 AFM-BOM P5 18 MB_Child1 not having the dlcp assumption for version 35564"
115189,Version # (if applicable): 35568 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart Report Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: EMR XCC and GNR AP UCC cannot run out any capacity in WIF solve. Need help to check whats the root cause,EMR XCC and GNR AP UCC cannot run out any capacity in WIF solve. Need help to check whats the root cause,"I think user fixed psicapgroup inv, capacity is available now."
115190,"Version # (if applicable): 35558 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart VGG Report Item(s)/ItemGroup(s)/Location(s): Problem Description: Run str 6 for FM41 Assy-Test and Finish, max cap on WW47 should be around 7.8ku but PC shown is only 5.48ku. PSIGCapgroup inv  47 BIBs should be able to give 7.8ku. Please help to check. Already turn offed OFG_LimiterCapacitySolverFlag to run VGG solve but PC still show 5.48ku only. Please help to check.","Run str 6 for FM41 Assy-Test and Finish, max cap on WW47 should be around 7.8ku but PC shown is only 5.48ku. PSIGCapgroup inv  47 BIBs should be able to give 7.8ku. Please help to check. Already turn offed OFG_LimiterCapacitySolverFlag to run VGG solve but PC still show 5.48ku only. Please help to check."," user need to turn off OFG_LimiterCapacitySolverFlag to run VGG solve. - LCBI only can used as entire tool, there will no fractional tool allocated. So the PSIcapgroup allocation can only be 36,72â€¦ The inventory now is 47, but solver can only use 36 of them."
115192,"Version # (if applicable): 35567 IsScrapBin (please indicate for FSA issue): Report/UI: resource requirement summary report(All) Item(s)/ItemGroup(s)/Location(s): ADLP282_STHg Problem Description: Tool requirement is weird. according to capacity target I put, TR should be within 3, but solver gives me over 40 Tool requirement. makes no sense","Tool requirement is weird. according to capacity target I put, TR should be within 3, but solver gives me over 40 Tool requirement. makes no sense", user found out reason and fixed.
115193,Version # (if applicable): V35577 IsScrapBin (please indicate for FSA issue): MTL H682 Child 1 FF C5 Step - Required not able to response as cap target in Mar'25 Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Checking unused report still have capacity..,Checking unused report still have capacity..," In frozen horizon, solver is not able to handle operation volume group, which caused in frozen horizon there has big number of deficit on PSIcapgroups. The entire objective will be quite high thus solver is not trying to optimize for some small volumes. Right now has tune the weight, will put permanent fix."
115194,"Version # (if applicable):35576 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: No capacity response to SM41/43/48. and after i load limiter chart vgg UI..no limiter line item reflected to check.. Background ; In prework week, SM prd got changes 2flow to single flow, so need to remap BOM, etc..not sure this is the root cause or how.","No capacity response to SM41/43/48. and after i load limiter chart vgg UI..no limiter line item reflected to check.. Background ; In prework week, SM prd got changes 2flow to single flow, so need to remap BOM, etc..not sure this is the root cause or how."," Elaine: The bom is not correct, bee ling has led discussion to make changes in source system and ATCR."
115195,Version # (if applicable): 35573 IsScrapBin (please indicate for FSA issue): Report/UI: Requirement resource Summary report and resource group conversion report Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: min allocation subject to change although is in frozen week (example AXL STHI in W38 should follow 13 tools but report showing only 12 tools ),min allocation subject to change although is in frozen week (example AXL STHI in W38 should follow 13 tools but report showing only 12 tools ),"Frozen horizon is 2 weeks in that version. User want one more week because response in next week, added 1 week buffer for user."
115196,Version # (if applicable): 35582 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: Version run solve failed afterC2C (previous version missing HXVaf trade ratio) and copy all version parameter from V35566.,Version run solve failed afterC2C (previous version missing HXVaf trade ratio) and copy all version parameter from V35566.," HXVaf: sum of NSMUSD + min allocation exceeding inventory in ww40, user can fix and rerun."
115203,Version # (if applicable): V35584 IsScrapBin (please indicate for FSA issue): SPR XCC (Split Solder)_CSE W05 limiter 1 should be HST_AP_DKM_SPR SP XCC and HST_AP_BP_HST Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:,,
115204,Version # (if applicable): V35584 IsScrapBin (please indicate for FSA issue): SPR XCC (Split Solder)_CSE W05 limiter 1 should be HST_AP_DKM_SPR SP XCC and HST_AP_BP_HST Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Limiter chart by VGG Limiter 1 not able to see the really limiter. Need help to check,Limiter chart by VGG Limiter 1 not able to see the really limiter. Need help to check,"  Below VGG wasn't active, after activating the VGG user can see the real 1st limiter. HST_AP_DKM_SPR SP XCC"
115206,"Version # (if applicable): 35578 Report/UI: Resource Requirement Summary Report(All) (capacity target report) Item(s)/ItemGroup(s)/Location(s): RPLP682_STHg, RPLP682 DF Problem Description: Capacity Target is the same 42.46ku for each week, runrate is also the same 31.22, but TR is different for each week.","Capacity Target is the same 42.46ku for each week, runrate is also the same 31.22, but TR is different for each week."," Different DLCP have different runrate, solver follow DLCP assumption to calculate tool req."
115207,Version # (if applicable): 35588 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: EC solve fail,EC solve fail," VGG cannot handle NST flow prod, especially in frozen, will need tech team to discuss future solution."
115210,"Version # (if applicable): 35550 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: GPO and site FPC find some products ADL S881 non UV/UX, ADL S881 UV/UX and ARL S8161 non UV/UX, ARL S8161 UV/UX have FH extend 1 week while IE set up is correct?","GPO and site FPC find some products ADL S881 non UV/UX, ADL S881 UV/UX and ARL S8161 non UV/UX, ARL S8161 UV/UX have FH extend 1 week while IE set up is correct?"," - Upon , this SDA is long and user's using this version for FSA update until next week. It will only be response next week, so, it will base on next week frozen horizon, add buffer  2. Explained and user agreed to close the ticket."
115211,Version # (if applicable): Data Staging IsScrapBin (please indicate for FSA issue): PG8_VGG_LCBI_FM41#14522 no standard item and no fallout shown.. Need help to check Currently i just manual map due to urgent need c2c out version. Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description:,," Fallout - ""Active VGG Capacity Group with no all data selected"" is displayed for ""PG8_VGG_LCBI_FM41#14522"". Refer attachment for reference. User confirmed for pool closure."
115212,"Version # (if applicable): V35598 IsScrapBin (please indicate for FSA issue): ARL H682 Child 1 FF W02 only response/PC at 262.65, i should have capacity around 266.245. Need help to check Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: 1. Checking on the VGG unused report still able to go 2. HXVab not a constrain as allocation inventory > tool requirement",1. Checking on the VGG unused report still able to go 2. HXVab not a constrain as allocation inventory > tool requirement,"Constraint by HXVab main tool, no excess after support all rounded req and conversion loss."
115213,"Version # (if applicable): 35605 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart VGG Report Item(s)/ItemGroup(s)/Location(s): Problem Description: Please help to check what is the real limiter in WW52 and WW01 for FM41 Assy-Test as PC only show 1.815ku and 0.599ku, respectively. Not test limiter and cannot find limiter based on VGGunused report.","Please help to check what is the real limiter in WW52 and WW01 for FM41 Assy-Test as PC only show 1.815ku and 0.599ku, respectively. Not test limiter and cannot find limiter based on VGGunused report.","Itâ€™s constraint by HXVab main tool, ww52 has 0.35 cell pairs excess, not able to support capacity in ww52, also not support any further conversion for ww01."
115222,Version # (if applicable): 35543 IsScrapBin (please indicate for FSA issue): Report/UI: Site Split UI Item(s)/ItemGroup(s)/Location(s): Lunar Lake M442 DRAM Attached (SS/VN) Problem Description: Frozen Time Time Period is setup as 3 wks but seeing Solver proposed upside during Site Split solve activity to increase the Site Split qty (63.345K) in WW39 compare to the PrevCommit (52.471K) which should be Frozen Horizon during WW37 RTF week. Can you please help to investigate?,Frozen Time Time Period is setup as 3 wks but seeing Solver proposed upside during Site Split solve activity to increase the Site Split qty (63.345K) in WW39 compare to the PrevCommit (52.471K) which should be Frozen Horizon during WW37 RTF week. Can you please help to investigate?,"  OFG_BufferTimeToAdd is 2 weeks and we have found that frozen horizon  TPT(0) + Buffer time (2)  2 so total 4 weeks of frozen horizon which is WW35-38 TPT is coming 0 instead of 1, looks like there is a gap in calculating TPT for non standard flow. We have created a story to fix the issue and is expected to be fixed in the next cycle."
115234,"Version # (if applicable): 35611 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Product with 168hrs nominal hours (GRR, ADL N081, Twin Lake) in W5 does not have PC","Product with 168hrs nominal hours (GRR, ADL N081, Twin Lake) in W5 does not have PC",No capacity on WW05 due to VGG cap zero on WW05 for SS_VGG_DFXg because Nominal hours by product is zero on WW05 for the below std item. HASWELL FC-LGA12C D-0 HZD-BOM 0Z 4 MB The user will update the NH by product and rerun solve.
115235,"Version # (if applicable): 35588 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: EC solve shows tool requirement  0 on products with Capacity Target > 0, Nominal hours  0 (W5) -> tool requirement should be a very large number","EC solve shows tool requirement  0 on products with Capacity Target > 0, Nominal hours  0 (W5) -> tool requirement should be a very large number",If nominal hours < 0.01 then solver updates capacity target to zero so all the tool req also will be zero.
115237,Version # (if applicable): 35939 IsScrapBin (please indicate for FSA issue): Report/UI: limiter chart by vgg report Item(s)/ItemGroup(s)/Location(s): Problem Description: apn490 no response (no SR or PC propose) after run st2 ..after check limiter shows PG8_VGG_CMT_TIU_APN490_94_97 as limiter.. i do check PSIG INV and VGG Cap Group capacity is available.. please help to check..,apn490 no response (no SR or PC propose) after run st2 ..after check limiter shows PG8_VGG_CMT_TIU_APN490_94_97 as limiter.. i do check PSIG INV and VGG Cap Group capacity is available.. please help to check.., the prod is not qualed.
115238,Version # (if applicable): 35611 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: Solver suggests ARL S8161 and ARL S8161 BGA VGGPC over its PSICapGroup Inventory HDM_CT_SOCKET_ARL S 8+16+1_TEST_EQAM. VGGCapacity is not correctly genernated?,Solver suggests ARL S8161 and ARL S8161 BGA VGGPC over its PSICapGroup Inventory HDM_CT_SOCKET_ARL S 8+16+1_TEST_EQAM. VGGCapacity is not correctly genernated?," - Hi Ngoc Thao Vy Le, The mentioned PSICapGroup having 2 PSIG Resources( HX_CT_DT_ARROW_LAKE_S_8+16+1_EGDI , HX_CT_DT_ARROW_LAKE_S_8+16+1_HFE ). Due to that, we are having incorrect value. Kindly refer the attached screenshot for your reference. Thanks, Thiru - User confirmed for pool closure."
115239,Version # (if applicable): 35630 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter chart by VGG Item(s)/ItemGroup(s)/Location(s): CPU MB: ARL S8161 BGA Problem Description: what is real limiter for W45 ?,what is real limiter for W45 ?, BI PSICapgroups are used up. user can check from export report.
115243,"Version # (if applicable): 35611 IsScrapBin (please indicate for FSA issue): Report/UI: Item(s)/ItemGroup(s)/Location(s): Problem Description: No VGGPC for DG2 128 even set highest priority and strategy 5, no valid limiter found","No VGGPC for DG2 128 even set highest priority and strategy 5, no valid limiter found", DG2 128 shows as CTO prod from source but it's not. Ashish: Tech team has hard code it to be non-CTO already.
115249,Version # (if applicable): 35550 IsScrapBin (please indicate for FSA issue): Report/UI: MP Loading Item(s)/ItemGroup(s)/Location(s): RAPTOR LAKE FC-LGA16A C-3 ACS-BOM P5 30 MB_Child1 Problem Description: please help check who is the last one change the site response for this BOM in W38,please help check who is the last one change the site response for this BOM in W38,"  Last modified user - wannoorr (Wan Mohd Tahir, Wan Noor Rizal) Provided last modified user details to user. User agreed to close the ticket."
115253,Version # (if applicable): 35643 IsScrapBin (please indicate for FSA issue): Report/UI: Limiter Chart VGG Item(s)/ItemGroup(s)/Location(s): KM5 Problem Description: BDX DE LCC limiter showing is not correct in Dec although we are running strategy 6. limiter showing V8 but we have excess inv on it. same goes to HWL ETL.,BDX DE LCC limiter showing is not correct in Dec although we are running strategy 6. limiter showing V8 but we have excess inv on it. same goes to HWL ETL.,"  VGG capacity for CXTex doesn't seem to be correct, AD is  the calculation. TDI inventory was wrong, so less than expected available inventory was considered during VGG generation. User corrected the TDI inventory and reran solve, user can see the correct limiter."
